FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
1.088499,0.218502,0.000000,0.000000,1.545308,0.000000,0.066739,0.285101,0.491266,1.348586,0.000000,0.000000,0.000000,0.000000,0.029049,9998.000000,0.036828,0.000000,0.000000,0.000000,0.189015,0.000000,0.000000,0.000000,0.000000,0.129879,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,174.000000,,0
6.173485,6.457708,0.524645,0.788186,52.505489,36.901764,22.623390,4.601426,0.482003,1.039888,0.531992,0.614741,0.920525,1.635484,0.152446,0.000000,0.790530,0.810078,0.000000,0.000000,1.720205,1.567047,1.354558,0.662892,0.000000,0.016986,0.000000,0.000000,0.000000,0.213646,0.000000,0.000000,252.000000,,1
5.250206,2.752910,0.066679,0.095905,17.463959,13.203572,6.218623,1.301751,0.253658,1.518457,0.351041,0.323651,0.261025,1.251902,0.055530,0.000000,0.720176,0.439792,0.000000,0.000000,1.242143,1.120691,0.793694,0.114528,0.000000,0.181402,0.000000,0.000000,0.000000,0.097570,0.000000,0.000000,298.000000,,1
4.983232,19.795456,0.181989,0.649837,8.413848,6.576652,2.775290,0.764269,0.232577,0.402527,0.109141,0.342796,0.209379,1.323811,0.098485,0.000000,0.697511,1.296566,0.000000,0.000000,0.924995,0.818005,0.443308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121826,0.000000,0.000000,361.000000,,1
4.238846,12.691604,0.201873,0.884970,5.412011,8.089818,0.905432,0.446727,0.619273,1.079336,1.066619,0.698629,1.139806,2.179274,0.115183,0.000000,0.627248,1.103516,0.000000,0.000000,0.733359,0.907939,0.000000,0.000000,0.000000,0.033157,0.028009,0.000000,0.056831,0.338312,0.000000,0.000000,803.000000,,1
3.899045,3.202272,0.000000,0.620770,28.225914,37.024323,13.295704,2.383462,0.733345,1.305105,0.182069,0.233435,0.314428,0.529237,0.119325,0.000000,0.590958,0.505458,0.000000,0.000000,1.450648,1.568487,1.123711,0.377208,0.000000,0.115645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,824.000000,,1
3.000879,6.715659,0.241041,0.643768,6.315866,8.891020,1.081911,0.463536,0.545847,1.120142,0.509513,0.685313,0.145375,1.051866,0.054399,0.000000,0.477248,0.827089,0.000000,0.000000,0.800433,0.948952,0.034192,0.000000,0.000000,0.049273,0.000000,0.000000,0.000000,0.021960,0.000000,0.000000,1199.000000,,1
3.344274,6.195246,0.201034,0.360524,13.159891,11.612627,4.786909,0.965543,0.188257,0.608473,0.162704,0.526682,0.219720,2.032541,0.071987,0.000000,0.524302,0.792059,0.000000,0.000000,1.119252,1.064930,0.680055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308039,0.000000,0.000000,1300.000000,,1
4.758481,25.566772,0.423469,0.293785,3.488651,5.283126,1.069334,0.340700,0.326166,0.732287,0.617396,0.473997,0.416642,1.520972,0.226361,750.589661,0.677468,1.407676,0.000000,0.000000,0.542658,0.722891,0.029113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182121,0.000000,2.875403,1615.000000,,1
1.991136,3.762832,0.221158,0.335509,7.094250,1.572159,0.602623,0.617975,0.641333,0.922701,0.597553,0.462359,0.565691,0.915694,0.034536,0.000000,0.299101,0.575515,0.000000,0.000000,0.850906,0.196496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1908.000000,,0
