FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
10.888186,11.787489,0.044798,0.289593,16.786192,11.134098,6.200217,1.520633,0.732886,2.121280,0.318221,0.782256,0.509652,1.473538,0.081460,0.000000,1.036955,1.071421,0.000000,0.000000,1.224952,1.046655,0.792407,0.182024,0.000000,0.326598,0.000000,0.000000,0.000000,0.168361,0.000000,0.000000,68.000000,,1
101.303085,7.084548,0.141383,0.101555,6.429619,15.084469,2.217065,0.589886,1.092412,3.012877,0.586393,0.954982,0.916013,2.108343,0.001954,0.000000,2.005623,0.850312,0.000000,0.000000,0.808185,1.178530,0.345778,0.000000,0.038386,0.478981,0.000000,0.000000,0.000000,0.323941,0.000000,0.000000,119.000000,,0
11.674155,41.606884,0.401849,1.116468,1.501028,0.562936,0.704777,0.163542,1.333453,0.666387,0.228864,0.000000,0.727117,1.866903,0.074509,9998.000000,1.067225,1.619165,0.000000,0.047846,0.176389,0.000000,0.000000,0.000000,0.124978,0.000000,0.000000,0.000000,0.000000,0.271122,0.000000,3.999913,244.000000,,1
14.441100,53.959663,0.259827,0.735901,7.230202,17.139589,1.237927,0.622228,1.519096,0.911920,0.510291,0.718732,0.760756,2.410194,0.016604,0.000000,1.159600,1.732069,0.000000,0.000000,0.859150,1.234000,0.092695,0.000000,0.181585,0.000000,0.000000,0.000000,0.000000,0.382052,0.000000,0.000000,290.000000,,1
21.206867,43.099106,0.156236,0.458885,13.900683,18.316647,4.407938,1.060730,0.957098,0.857280,0.355633,0.578427,0.721008,1.166258,0.016375,0.000000,1.326477,1.634468,0.000000,0.000000,1.143036,1.262846,0.644236,0.025605,0.000000,0.000000,0.000000,0.000000,0.000000,0.066794,0.000000,0.000000,337.000000,,1
20.864731,43.582108,0.281069,0.626300,9.684516,14.508936,1.361862,0.742189,0.798567,2.559103,0.863748,0.860015,1.043481,3.017968,0.004417,0.000000,1.319413,1.639308,0.000000,0.000000,0.986078,1.161636,0.134133,0.000000,0.000000,0.408088,0.000000,0.000000,0.018485,0.479715,0.000000,0.000000,503.000000,,1
9.601228,31.769825,0.139306,0.713322,3.763830,13.089879,0.812002,0.347368,0.961470,3.247131,1.038291,0.754168,0.942305,1.170470,0.099430,0.000000,0.982327,1.502015,0.000000,0.000000,0.575630,1.116936,0.000000,0.000000,0.000000,0.511500,0.016319,0.000000,0.000000,0.068360,0.000000,0.000000,599.000000,,1
9.046417,2.659021,0.194247,0.295323,5.193429,9.719512,0.566349,0.518257,0.930626,1.671598,0.719730,0.832645,0.710148,1.435847,0.103418,0.000000,0.956477,0.424722,0.000000,0.000000,0.715454,0.987644,0.000000,0.000000,0.000000,0.223132,0.000000,0.000000,0.000000,0.157108,0.000000,0.000000,638.000000,,1
21.113518,3.303129,0.251023,0.492085,4.918369,10.658264,1.107105,0.426803,1.528998,1.234953,0.633108,0.547044,0.862391,0.890859,0.029375,0.000000,1.324561,0.518926,0.000000,0.000000,0.691821,1.027686,0.044189,0.000000,0.184407,0.091650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,759.000000,,1
10.301613,29.080799,0.374099,0.672416,8.404325,15.595459,1.197321,0.742549,0.943982,1.711226,1.091653,0.370087,0.735022,1.799745,0.077678,0.000000,1.012905,1.463606,0.000000,0.000000,0.924503,1.192998,0.078211,0.000000,0.000000,0.233307,0.038085,0.000000,0.000000,0.255211,0.000000,0.000000,853.000000,,1
7.233876,20.094492,0.152383,0.802679,5.395821,12.213095,2.219840,0.525683,0.627059,2.154519,0.503005,1.126490,0.690563,1.510012,0.071754,0.000000,0.859371,1.303077,0.000000,0.000000,0.732058,1.086826,0.346322,0.000000,0.000000,0.333350,0.000000,0.051727,0.000000,0.178980,0.000000,0.000000,909.000000,,1
30.686417,3.889302,0.135813,0.313410,8.312832,15.505064,2.200755,0.689266,1.119403,1.552056,0.440698,0.753129,0.548861,0.999840,0.011353,0.000000,1.486946,0.589872,0.000000,0.000000,0.919749,1.190474,0.342572,0.000000,0.048986,0.190907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,957.000000,,0
8.891299,21.673059,0.267214,0.410293,10.354956,8.228545,0.808289,1.074345,1.746661,1.773493,0.775090,0.139586,0.615400,2.432952,0.188019,185.844376,0.948965,1.335920,0.000000,0.000000,1.015148,0.915323,0.000000,0.031144,0.242209,0.248829,0.000000,0.000000,0.000000,0.386134,0.000000,2.269149,1017.000000,,1
9.809908,43.225296,0.267353,0.486135,8.215789,22.024759,1.612985,0.699547,0.497834,2.464595,1.100996,0.794714,0.543092,0.478389,0.143314,0.000000,0.991665,1.635738,0.000000,0.000000,0.914649,1.342911,0.207630,0.000000,0.000000,0.391746,0.041786,0.000000,0.000000,0.000000,0.000000,0.000000,1052.000000,,1
9.106587,21.628559,0.283185,1.023537,10.703781,13.698132,0.597992,0.949851,1.592941,2.163024,0.703380,0.991975,0.984628,3.595377,0.150850,0.000000,0.959356,1.335028,0.000000,0.010104,1.029537,1.136661,0.000000,0.000000,0.202200,0.335061,0.000000,0.000000,0.000000,0.555744,0.000000,0.000000,1170.000000,,1
11.902959,6.062108,0.255315,0.457487,3.699627,4.704698,0.590046,0.283963,1.027889,1.082151,0.521471,0.721707,0.748378,0.106526,0.031000,0.000000,1.075655,0.782624,0.000000,0.000000,0.568158,0.672532,0.000000,0.000000,0.011946,0.034288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247.000000,,1
10.108724,23.815500,0.237089,0.761594,4.852370,21.768864,0.715917,0.467469,0.627618,0.787946,0.441497,0.630193,0.540097,1.815856,0.030073,0.000000,1.004696,1.376860,0.000000,0.000000,0.685954,1.337836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.259081,0.000000,0.000000,1336.000000,,1
13.013478,51.893402,0.061708,0.662454,4.815377,7.515743,1.106866,0.235212,1.136911,2.560520,0.605678,0.704957,0.422192,0.728414,0.076385,9998.000000,1.114393,1.715112,0.000000,0.000000,0.682630,0.875972,0.044095,0.000000,0.055726,0.408328,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,1566.000000,,1
41.080700,107.043442,0.384740,0.777365,13.699329,18.333477,2.901739,1.253399,0.954703,1.122557,0.590525,1.367172,0.625621,2.407579,0.138215,0.000000,1.613638,2.029560,0.000000,0.000000,1.136699,1.263245,0.462658,0.098089,0.000000,0.050208,0.000000,0.135823,0.000000,0.381581,0.000000,0.000000,1626.000000,,1
15.878504,35.811810,0.167655,0.532711,6.706775,9.659741,0.595995,0.634246,0.934978,2.098641,0.532870,0.462498,0.346489,2.335310,0.050681,0.000000,1.200810,1.554026,0.000000,0.000000,0.826514,0.984966,0.000000,0.000000,0.000000,0.321938,0.000000,0.000000,0.000000,0.368345,0.000000,0.000000,1759.000000,,1
15.044521,3.293986,0.183925,0.448105,5.543971,18.254879,1.212274,0.484119,0.841509,2.344114,0.172007,0.866423,0.458486,1.333154,0.005776,0.000000,1.177378,0.517722,0.000000,0.000000,0.743821,1.261379,0.083601,0.000000,0.000000,0.369979,0.000000,0.000000,0.000000,0.124880,0.000000,0.000000,1853.000000,,1
26.844748,39.697819,0.218323,1.065122,8.911283,12.472003,1.830070,0.742429,1.830070,1.823701,0.817652,0.757561,1.363159,2.965404,0.056805,0.000000,1.428859,1.598767,0.000000,0.027399,0.949940,1.095936,0.262468,0.000000,0.262468,0.260954,0.000000,0.000000,0.134547,0.472084,0.000000,0.000000,1933.000000,,1
