FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
5.812143,2.966961,0.261764,0.772893,11.608395,6.118825,3.317064,0.872971,1.341439,1.975685,0.370845,0.663513,0.697111,1.126310,0.058027,0.000000,0.764336,0.472312,0.000000,0.000000,1.064772,0.786668,0.520754,0.000000,0.127571,0.295718,0.000000,0.000000,0.000000,0.051658,0.000000,0.000000,17.000000,,1
7.377554,4.485337,0.252860,1.739754,198.751022,123.704643,89.730545,17.583801,1.677607,1.053882,0.634765,0.716177,0.117446,0.420615,0.015205,0.000000,0.867912,0.651795,0.000000,0.240488,2.298309,2.092386,1.952940,1.245113,0.224690,0.022792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,367.000000,,1
10.867543,41.907734,0.113913,0.449562,36.603588,25.411177,14.080156,2.733206,0.890000,2.383862,0.544669,0.739095,0.622188,0.980196,0.056138,0.000000,1.036131,1.622294,0.000000,0.000000,1.563524,1.405025,1.148607,0.436672,0.000000,0.377281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,390.000000,,1
11.238508,33.615288,0.251123,0.403905,31.507462,42.109570,13.989621,2.772634,1.328902,1.752531,0.627099,0.364237,0.688627,0.259368,0.045429,0.000000,1.050709,1.526537,0.000000,0.000000,1.498413,1.624381,1.145806,0.442893,0.123493,0.243666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,539.000000,,1
9.113356,29.384285,0.190014,0.580484,25.605902,26.266520,10.816516,2.304386,0.965263,0.811463,0.620032,0.752990,1.022998,1.097163,0.028694,0.000000,0.959678,1.468115,0.000000,0.000000,1.408340,1.419402,1.034087,0.362555,0.000000,0.000000,0.000000,0.000000,0.009875,0.040271,0.000000,0.000000,618.000000,,1
12.469567,31.885633,0.264039,0.643709,45.723652,43.517128,21.883896,3.934101,0.990797,1.702622,1.264339,0.910004,1.279112,2.523727,0.060793,0.000000,1.095851,1.503595,0.000000,0.000000,1.660141,1.638660,1.340125,0.594845,0.000000,0.231118,0.101864,0.000000,0.106909,0.402042,0.000000,0.000000,691.000000,,1
6.417641,16.343737,0.287277,0.779901,17.428003,18.893436,4.429859,1.551177,1.166158,2.281887,1.129425,0.874309,0.383422,1.961730,0.029769,0.000000,0.807375,1.213351,0.000000,0.000000,1.241248,1.276311,0.646390,0.190661,0.066757,0.358294,0.052857,0.000000,0.000000,0.292639,0.000000,0.000000,796.000000,,1
10.928173,4.685933,0.129983,0.681759,36.829975,31.054487,17.095690,3.037373,1.020463,1.445789,0.482861,0.755345,0.718193,2.084906,0.047775,0.000000,1.038548,0.670796,0.000000,0.000000,1.566201,1.492124,1.232887,0.482498,0.008797,0.160105,0.000000,0.000000,0.000000,0.319086,0.000000,0.000000,834.000000,,1
17.853111,7.240644,0.254018,0.593580,6.834522,10.148831,0.580743,0.546865,1.573636,2.067837,0.711625,1.558763,0.697471,1.069653,0.007282,0.000000,1.251714,0.859777,0.000000,0.000000,0.834708,1.006416,0.000000,0.000000,0.196904,0.315516,0.000000,0.192780,0.000000,0.029243,0.000000,0.000000,898.000000,,1
9.377515,30.829435,0.199118,0.412010,21.812626,16.358709,7.632350,1.922821,0.568745,1.847238,0.727157,0.591064,0.548961,1.746761,0.030532,0.000000,0.972088,1.488966,0.000000,0.000000,1.338708,1.213749,0.882658,0.283939,0.000000,0.266523,0.000000,0.000000,0.000000,0.242234,0.000000,0.000000,1094.000000,,1
