FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
10.730312,29.550224,0.099898,0.518496,11.519596,15.649221,0.548602,0.914616,1.286638,1.228963,0.392246,0.698449,0.653810,2.483760,0.007811,0.000000,1.030612,1.470561,0.000000,0.000000,1.061437,1.194493,0.000000,0.000000,0.109457,0.089539,0.000000,0.000000,0.000000,0.395110,0.000000,0.000000,23.000000,,1
12.441878,42.482090,0.193688,0.840031,9.861713,6.231580,0.486854,0.773233,0.726877,2.592043,0.671598,1.674193,0.794334,2.853228,0.034623,0.000000,1.094886,1.628206,0.000000,0.000000,0.993952,0.794598,0.000000,0.000000,0.000000,0.413642,0.000000,0.223806,0.000000,0.455336,0.000000,0.000000,77.000000,,1
12.848318,47.299084,0.428480,0.907568,1.727357,9.177579,0.196662,0.270687,0.720748,0.886187,0.842846,0.184504,0.931205,1.748638,0.099564,0.000000,1.108846,1.674853,0.000000,0.000000,0.237382,0.962728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242700,0.000000,0.000000,174.000000,,1
9.735942,2.108004,0.310854,0.626021,9.667467,10.954644,0.279352,0.825198,1.077260,2.066200,0.480965,0.536683,0.969695,1.771896,0.005791,0.000000,0.988378,0.323871,0.000000,0.000000,0.985313,1.039598,0.000000,0.000000,0.032320,0.315172,0.000000,0.000000,0.000000,0.248438,0.000000,0.000000,263.000000,,0
18.067081,4.529457,0.158132,0.254896,6.936876,11.514266,0.451818,0.621768,0.780320,2.675231,0.937953,0.663373,0.860015,1.440339,0.006763,0.000000,1.256888,0.656046,0.000000,0.000000,0.841164,1.061236,0.000000,0.000000,0.000000,0.427361,0.000000,0.000000,0.000000,0.158465,0.000000,0.000000,365.000000,,1
21.990103,3.088020,0.184025,0.734264,4.593181,7.667447,0.460143,0.292528,1.042802,2.396040,0.806932,0.633906,0.894512,1.420754,0.131669,0.000000,1.342227,0.489680,0.000000,0.000000,0.662114,0.884651,0.000000,0.000000,0.018202,0.379494,0.000000,0.000000,0.000000,0.152519,0.000000,0.000000,518.000000,,0
9.442436,10.774133,0.106466,0.313130,2.425506,4.750814,0.433830,0.294883,0.650017,1.329580,0.209878,1.248049,0.618794,0.184744,0.064490,0.000000,0.975084,1.032382,0.000000,0.000000,0.384802,0.676768,0.000000,0.000000,0.000000,0.123715,0.000000,0.096232,0.000000,0.000000,0.000000,0.000000,629.000000,,1
19.923424,3.323711,0.222056,0.606576,6.550639,13.365498,0.436126,0.645505,0.860115,1.761714,0.568226,0.950650,0.261025,1.965882,0.013387,0.000000,1.299364,0.521623,0.000000,0.000000,0.816284,1.125985,0.000000,0.000000,0.000000,0.245935,0.000000,0.000000,0.000000,0.293558,0.000000,0.000000,679.000000,,1
7.601706,13.620234,0.268691,1.011639,6.880698,15.272467,0.453036,0.640914,0.801501,1.840151,0.674652,1.187798,1.057176,1.828992,0.027093,0.000000,0.880911,1.134185,0.000000,0.005026,0.837633,1.183909,0.000000,0.000000,0.000000,0.264854,0.000000,0.074743,0.024147,0.262212,0.000000,0.000000,767.000000,,1
16.195686,3.298457,0.370067,0.730850,5.072828,17.894794,0.519694,0.503384,0.897886,2.688328,0.936536,0.968478,0.644367,1.800543,0.002850,0.000000,1.209399,0.518311,0.000000,0.000000,0.705250,1.252727,0.000000,0.000000,0.000000,0.429482,0.000000,0.000000,0.000000,0.255404,0.000000,0.000000,858.000000,,1
14.644151,30.707817,0.212254,0.678605,9.803240,11.885490,0.210816,0.857619,0.745284,1.530056,0.391707,0.717993,0.657164,1.890440,0.071392,0.000000,1.165664,1.487249,0.000000,0.000000,0.991370,1.075017,0.000000,0.000000,0.000000,0.184707,0.000000,0.000000,0.000000,0.276563,0.000000,0.000000,1045.000000,,1
14.395303,39.977108,0.291070,0.785890,5.431496,14.099062,0.648620,0.440399,2.014813,1.799505,0.751832,1.009024,0.784133,2.214231,0.049258,0.000000,1.158221,1.601811,0.000000,0.000000,0.734919,1.149190,0.000000,0.000000,0.304235,0.255153,0.000000,0.003901,0.000000,0.345223,0.000000,0.000000,1136.000000,,1
