FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
3.560121,3.911182,0.347607,0.389132,4.140804,2.861473,0.141502,0.265078,0.412968,0.701703,0.372602,0.428500,0.409994,0.533609,0.283420,0.000000,0.551465,0.592308,0.000000,0.000000,0.617085,0.456590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.000000,,1
1.218523,0.943763,0.000000,0.488471,3.736221,2.938093,0.144517,0.307960,0.345950,0.000000,0.262183,0.373480,0.163502,0.000000,0.093010,9998.000000,0.085834,0.000000,0.000000,0.000000,0.572433,0.468066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,114.000000,,0
1.362840,1.670720,0.121439,0.194366,2.876086,0.000000,0.177497,0.341259,0.276337,0.347028,0.212094,0.971672,0.071709,1.689805,0.097328,0.000000,0.134445,0.222904,0.000000,0.000000,0.458802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227837,0.000000,0.000000,121.000000,,0
1.308978,2.607575,0.000000,0.059791,0.189675,5.747601,0.027630,0.074185,0.109860,0.905991,0.230980,0.058014,0.164740,0.793935,0.093010,0.000000,0.116932,0.416237,0.000000,0.000000,0.000000,0.759487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.000000,,0
1.708351,11.844984,0.244775,0.547324,1.428401,2.563655,0.287437,0.216925,0.450600,0.510631,0.179074,0.550458,0.163662,1.488092,0.015281,0.000000,0.232577,1.073534,0.000000,0.000000,0.154850,0.408860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172630,0.000000,0.000000,157.000000,,0
5.397877,18.233818,0.273522,0.249646,3.547005,8.754209,0.564892,0.411890,0.520433,0.972051,0.552275,0.553513,0.554750,1.559242,0.000455,0.000000,0.732223,1.260878,0.000000,0.000000,0.549862,0.942217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.192914,0.000000,0.000000,516.000000,,1
6.004253,31.147676,0.294145,0.320736,1.961670,7.945740,0.475854,0.278353,0.309656,1.207822,0.566809,0.633288,0.354675,1.656985,0.061049,0.000000,0.778459,1.493426,0.000000,0.000000,0.292626,0.900134,0.000000,0.000000,0.000000,0.082003,0.000000,0.000000,0.000000,0.219318,0.000000,0.000000,622.000000,,1
5.913239,7.419777,0.210597,0.603602,4.275180,6.659781,0.161726,0.294983,0.633447,0.578966,0.561997,0.416642,0.289673,1.470324,0.047190,0.000000,0.771825,0.870391,0.000000,0.000000,0.630954,0.823460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.167413,0.000000,0.000000,675.000000,,1
2.348646,18.557669,0.260925,0.257891,3.651475,0.000000,0.088279,0.358607,0.165679,0.755545,0.039129,0.083328,0.284562,0.902118,0.011743,0.000000,0.370818,1.268523,0.000000,0.000000,0.562468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,933.000000,,1
2.099300,6.819949,0.251782,0.628037,2.840710,5.225710,0.410273,0.314747,0.405921,1.731030,0.526382,0.495119,0.811443,1.477771,0.066907,0.000000,0.322074,0.833781,0.000000,0.000000,0.453427,0.718145,0.000000,0.000000,0.000000,0.238305,0.000000,0.000000,0.000000,0.169607,0.000000,0.000000,996.000000,,1
