FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
2.028888,7.851332,0.340800,0.534567,43.012924,34.872200,18.077982,3.692480,0.542034,0.381346,0.375756,0.238187,0.352319,0.517538,0.098455,0.000000,0.307258,0.894943,0.000000,0.000000,1.633599,1.542479,1.257150,0.567318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,,1
2.411292,18.115652,0.223992,0.510112,8.202992,9.548304,4.151585,0.671738,0.808628,0.565371,0.515662,0.429578,0.813719,1.587371,0.042005,440.507935,0.382250,1.258054,0.000000,0.000000,0.913972,0.979926,0.618214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200678,0.000000,2.643954,70.000000,,1
5.141523,28.294210,0.161346,0.177437,5.747700,12.279613,0.984009,0.371085,0.182089,0.324809,0.556328,0.773532,0.622487,1.320517,0.068340,0.000000,0.711092,1.451698,0.000000,0.000000,0.759494,1.089185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120744,0.000000,0.000000,267.000000,,1
4.793217,4.105808,0.205207,0.576631,6.306244,9.187421,3.009344,0.627698,0.757921,0.654988,0.237328,0.421613,0.661616,2.205546,0.099699,725.823364,0.680627,0.613399,0.000000,0.000000,0.799771,0.963194,0.478472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343516,0.000000,2.860831,327.000000,,1
3.884631,24.268875,0.123056,0.978939,13.099202,10.814959,4.414367,1.044459,0.871215,1.270628,0.431056,0.178715,0.484518,1.761375,0.041314,0.000000,0.589350,1.385050,0.000000,0.000000,1.117245,1.034025,0.644868,0.018891,0.000000,0.104018,0.000000,0.000000,0.000000,0.245852,0.000000,0.000000,542.000000,,1
5.550778,5.102913,0.049610,0.559202,15.112977,13.790763,6.744606,1.298357,0.443353,0.791959,0.002296,0.416682,0.211655,0.742569,0.107248,0.000000,0.744354,0.707818,0.000000,0.000000,1.179350,1.139588,0.828957,0.113394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599.000000,,1
1.065900,6.643989,0.071190,0.000000,5.285082,5.023977,1.682658,0.250863,0.000000,0.000000,0.315865,0.040227,0.592821,0.000000,0.171640,0.000000,0.027717,0.822429,0.000000,0.000000,0.723052,0.701048,0.225996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,646.000000,,0
1.300393,9.949594,0.045537,0.159929,6.153462,2.955042,1.957019,0.197401,0.000000,0.579725,0.065980,0.334132,0.000000,0.062666,0.187266,0.000000,0.114075,0.997805,0.000000,0.000000,0.789120,0.470564,0.291595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,660.000000,,0
1.453395,10.532832,0.135593,0.228125,6.280611,7.254358,1.918668,0.302849,0.000000,0.671797,0.204268,0.075463,0.033200,0.508555,0.185771,6220.411133,0.162384,1.022545,0.000000,0.000000,0.798002,0.860599,0.283000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.793819,668.000000,,0
5.929230,27.636745,0.277635,0.269250,11.653553,18.029789,6.115271,1.064583,0.684075,0.716696,0.117326,0.276078,0.299854,1.007047,0.033904,0.000000,0.772998,1.441487,0.000000,0.000000,1.066458,1.255991,0.786416,0.027179,0.000000,0.000000,0.000000,0.000000,0.000000,0.003050,0.000000,0.000000,740.000000,,1
7.236751,26.214693,0.399733,0.451019,9.714043,8.127131,2.263481,0.766305,0.487393,0.792857,0.535486,0.508275,0.272624,0.847478,0.071281,0.000000,0.859544,1.418545,0.000000,0.000000,0.987400,0.909937,0.354777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,814.000000,,1
3.947916,6.236770,0.321974,0.644467,4.050109,4.130563,0.015572,0.286039,0.351061,0.666567,0.268212,0.699707,0.942125,1.025394,0.132781,0.000000,0.596368,0.794960,0.000000,0.000000,0.607467,0.616009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010891,0.000000,0.000000,857.000000,,1
9.597395,47.408443,0.126250,0.884510,100.158173,67.034966,46.343002,8.253321,0.645845,0.988761,0.796970,0.588210,0.401869,0.672097,0.003512,0.000000,0.982153,1.675856,0.000000,0.000000,2.000686,1.826301,1.665984,0.916629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,909.000000,,1
4.893654,24.150671,0.403526,0.473159,7.373561,6.836120,2.601446,0.705177,0.275179,0.496077,0.325068,0.202591,0.170989,1.050907,0.016200,0.000000,0.689633,1.382929,0.000000,0.000000,0.867677,0.834810,0.415215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021564,0.000000,0.000000,1135.000000,,1
2.892157,11.067579,0.119962,0.503084,8.008965,8.762334,2.861593,0.788805,0.236410,0.919028,0.290731,0.478110,0.443293,0.878801,0.042028,0.000000,0.461222,1.044053,0.000000,0.000000,0.903576,0.942620,0.456608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1258.000000,,1
8.513686,18.909489,0.231020,1.020144,196.503357,141.072159,84.209038,17.173368,1.418359,1.590725,0.329321,0.745883,0.669282,0.948793,0.073570,0.000000,0.930118,1.276680,0.000000,0.008661,2.293370,2.149441,1.925359,1.234856,0.151786,0.201595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1296.000000,,1
8.772575,23.946342,0.255136,0.345172,17.672459,14.712127,6.428022,1.535106,0.812082,1.268092,0.441796,0.560819,0.339542,1.201833,0.008445,0.000000,0.943127,1.379239,0.000000,0.000000,1.247297,1.167675,0.808077,0.186138,0.000000,0.103151,0.000000,0.000000,0.000000,0.079844,0.000000,0.000000,1373.000000,,1
1.773433,7.792799,0.123256,0.918069,4.839453,1.908806,1.135494,0.430197,0.126051,0.826276,0.183586,0.127867,0.324949,0.684514,0.049912,0.000000,0.248815,0.891693,0.000000,0.000000,0.684796,0.280762,0.055185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1571.000000,,1
6.962170,40.862797,0.243597,0.651694,26.533974,15.818633,12.238708,2.257432,0.981694,0.152882,0.248268,0.318860,0.666527,1.286938,0.038863,0.000000,0.842745,1.611328,0.000000,0.000000,1.423802,1.199169,1.087736,0.353615,0.000000,0.000000,0.000000,0.000000,0.000000,0.109558,0.000000,0.000000,1628.000000,,1
3.908028,3.162505,0.072189,1.929289,287.383820,193.442642,133.970963,25.440283,1.400411,2.026552,0.237168,0.375596,0.335370,1.106546,0.039446,9998.000000,0.591958,0.500031,0.000000,0.285397,2.458462,2.286552,2.127011,1.405522,0.146256,0.306758,0.000000,0.000000,0.000000,0.043970,0.000000,3.999913,1678.000000,,1
7.981575,18.074747,0.145875,1.142561,134.522430,99.787125,60.762302,11.864888,1.231918,1.311913,0.520253,0.651974,0.537123,0.787746,0.017547,0.000000,0.902089,1.257072,0.000000,0.057879,2.128795,1.999074,1.783634,1.074264,0.090582,0.117905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1780.000000,,1
2.112276,5.585376,0.113214,0.195864,112.131943,77.933296,50.815327,9.578769,1.153102,1.802360,0.356371,0.151205,0.177976,0.813899,0.034379,0.000000,0.324751,0.747052,0.000000,0.000000,2.049729,1.891723,1.705995,0.981310,0.061868,0.255842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1855.000000,,1
3.159930,5.398176,0.226009,1.035436,18.576155,11.633888,5.852530,1.602104,0.558064,0.696153,0.410373,0.107524,0.987663,1.452656,0.035810,0.000000,0.499677,0.732247,0.000000,0.015123,1.268956,1.065725,0.767344,0.204691,0.000000,0.000000,0.000000,0.000000,0.000000,0.162163,0.000000,0.000000,1976.000000,,1
5.029587,21.583601,0.285960,0.350522,23.582365,18.686794,10.356712,2.118385,0.655427,0.223673,0.411811,0.202611,0.126290,1.865805,0.009720,0.000000,0.701532,1.334124,0.000000,0.000000,1.372587,1.271535,1.015222,0.326005,0.000000,0.000000,0.000000,0.000000,0.000000,0.270866,0.000000,0.000000,2045.000000,,1
1.736660,10.816835,0.000000,0.312711,73.568642,57.535378,34.803223,6.276478,0.898824,0.823961,0.057915,0.000000,0.349424,0.000000,0.193126,0.000000,0.239715,1.034100,0.000000,0.000000,1.866693,1.759935,1.541619,0.797716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2074.000000,,1
10.418940,22.173128,0.105787,0.694875,41.356579,29.584961,15.942268,3.548303,0.442694,0.761634,0.425446,0.246671,0.330798,1.257052,0.143876,0.000000,1.017824,1.345827,0.000000,0.000000,1.616545,1.471071,1.202550,0.550021,0.000000,0.000000,0.000000,0.000000,0.000000,0.099353,0.000000,0.000000,2177.000000,,1
6.684575,9.188838,0.190493,0.603701,11.350164,11.313931,2.299735,1.031104,0.383722,0.691082,0.291709,0.227905,0.620810,0.877703,0.011362,0.000000,0.825074,0.963261,0.000000,0.000000,1.055002,1.053614,0.361678,0.013302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2260.000000,,1
5.765308,32.657990,0.288235,0.477711,6.212315,6.658403,0.571839,0.595756,0.212174,0.567827,0.141862,0.283843,0.094608,0.882734,0.012585,0.000000,0.760823,1.513989,0.000000,0.000000,0.793253,0.823370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2348.000000,,1
4.964605,20.932526,0.284722,0.455850,5.916952,6.305545,1.239365,0.441177,0.230481,1.434709,0.608353,0.247989,0.225589,1.533809,0.029268,0.000000,0.695885,1.320822,0.000000,0.000000,0.772098,0.799723,0.093199,0.000000,0.000000,0.156764,0.000000,0.000000,0.000000,0.185771,0.000000,0.000000,2387.000000,,1
3.611827,12.007528,0.039588,1.228205,133.747406,98.254997,60.736290,11.696015,0.787367,0.901020,0.222455,0.041924,0.560660,0.249346,0.126431,0.000000,0.557727,1.079454,0.000000,0.089271,2.126285,1.992355,1.783448,1.068038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2448.000000,,1
