FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
2.688068,3.324011,0.065381,0.640794,5.101157,7.847479,2.054262,0.417380,0.160408,0.833982,0.174762,0.151125,0.487812,1.256254,0.039238,0.000000,0.429440,0.521662,0.000000,0.000000,0.707669,0.894730,0.312656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099077,0.000000,0.000000,20.000000,,1
4.269071,3.496437,0.197181,0.463337,16.362783,17.393866,7.412032,1.419078,0.310375,0.787846,0.443114,0.316504,0.284143,0.398016,0.003351,0.000000,0.630333,0.543626,0.000000,0.000000,1.213857,1.240396,0.869937,0.152006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,464.000000,,1
5.417042,21.482185,0.389052,0.485936,1.990637,2.887565,0.000000,0.000000,0.793296,0.894253,0.682957,0.196822,0.633407,1.429678,0.036633,9998.000000,0.733762,1.332078,0.000000,0.000000,0.298992,0.460532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155238,0.000000,3.999913,492.000000,,1
2.075004,19.236732,0.125991,0.232796,0.287637,5.404165,0.000000,0.000000,0.323052,0.102933,0.480486,0.492204,0.107025,0.000000,0.009841,9998.000000,0.317019,1.284131,0.000000,0.000000,0.000000,0.732729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,506.000000,,1
1.120920,0.332635,0.048073,0.038350,0.154798,1.617357,0.316584,0.049590,0.070851,0.059631,0.000000,0.088739,0.000000,0.000000,0.211586,0.000000,0.049575,0.000000,0.000000,0.000000,0.000000,0.208806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,554.000000,,0
6.686751,27.884016,0.217963,0.922381,5.601866,8.839174,1.444292,0.506099,0.368769,0.000000,0.724362,0.470504,0.707652,0.564872,0.056414,0.000000,0.825215,1.445355,0.000000,0.000000,0.748333,0.946412,0.159655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599.000000,,1
2.078777,1.442715,0.250903,0.652952,7.781199,9.950632,5.189276,0.675371,0.692380,0.220619,0.657424,0.216426,0.220978,0.365974,0.157412,0.000000,0.317808,0.159180,0.000000,0.000000,0.891047,0.997851,0.715107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,629.000000,,0
11.036077,68.709023,0.166377,0.555509,36.577396,28.868584,14.239766,3.046057,0.817971,1.111797,0.383223,0.622048,0.666667,1.560740,0.125003,0.000000,1.042815,1.837014,0.000000,0.000000,1.563213,1.460425,1.153503,0.483738,0.000000,0.046025,0.000000,0.000000,0.000000,0.193330,0.000000,0.000000,656.000000,,1
6.496458,13.413529,0.078058,0.249167,2.807750,6.894773,0.846080,0.278892,0.575253,0.985846,0.097383,0.471861,0.214350,0.391707,0.031548,0.000000,0.812677,1.127543,0.000000,0.000000,0.448359,0.838520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,747.000000,,1
7.012518,33.213058,0.283724,1.097343,17.620813,12.832547,6.706975,1.190114,0.526801,1.649538,0.466291,0.676269,0.942724,1.307241,0.061651,0.000000,0.845874,1.521309,0.000000,0.040342,1.246026,1.108313,0.826527,0.075589,0.000000,0.217362,0.000000,0.000000,0.000000,0.116356,0.000000,0.000000,793.000000,,1
