FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
23.658846,31.369953,0.088739,1.238965,9.023159,22.796335,0.534787,0.780060,1.091733,2.649658,0.386836,0.680542,1.165120,3.032841,0.056787,0.000000,1.373994,1.496514,0.000000,0.093059,0.955359,1.357865,0.000000,0.000000,0.038117,0.423190,0.000000,0.000000,0.066371,0.481850,0.000000,0.000000,164.000000,,1
8.798209,5.117167,0.213212,0.454193,4.661317,28.267717,0.491865,0.521411,0.325647,1.028688,0.270009,0.481344,0.199537,3.055120,0.074650,0.000000,0.944394,0.709030,0.000000,0.000000,0.668509,1.451291,0.000000,0.000000,0.000000,0.012284,0.000000,0.000000,0.000000,0.485028,0.000000,0.000000,221.000000,,1
27.020746,37.599476,0.166058,0.744086,13.940171,17.345514,1.113474,1.213392,0.876485,2.420954,0.372602,1.067797,1.179813,3.813999,0.017725,0.000000,1.431697,1.575182,0.000000,0.000000,1.144268,1.239187,0.046680,0.084001,0.000000,0.383987,0.000000,0.028489,0.071813,0.581381,0.000000,0.000000,267.000000,,1
17.429722,11.888046,0.279232,0.461121,6.213293,23.253942,0.690523,0.519375,1.619533,1.641393,0.784912,0.598850,1.867422,2.586413,0.004703,0.000000,1.241290,1.075110,0.000000,0.000000,0.793322,1.366497,0.000000,0.000000,0.209390,0.215213,0.000000,0.000000,0.271242,0.412698,0.000000,0.000000,310.000000,,1
9.007069,37.538006,0.188277,0.274700,12.966583,13.368113,0.804276,1.072289,1.493961,3.493463,0.932743,1.588928,0.771496,2.733965,0.079503,0.000000,0.954583,1.574471,0.000000,0.000000,1.112826,1.126070,0.000000,0.030312,0.174339,0.543256,0.000000,0.201104,0.000000,0.436793,0.000000,0.000000,510.000000,,1
16.139629,40.041790,0.273822,0.655966,10.474479,10.305466,0.515322,0.928490,0.336368,0.826177,0.652952,0.101036,0.600308,2.614083,0.153948,0.000000,1.207894,1.602513,0.000000,0.000000,1.020132,1.013068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.417319,0.000000,0.000000,639.000000,,1
33.130348,52.161015,0.253179,0.684794,6.306962,33.316990,1.333713,0.503144,1.315726,2.321795,0.756144,0.473997,0.892416,2.714800,0.071806,0.000000,1.520226,1.717346,0.000000,0.000000,0.799820,1.522666,0.125062,0.000000,0.119165,0.365824,0.000000,0.000000,0.000000,0.433738,0.000000,0.000000,702.000000,,1
10.046477,43.005157,0.217943,0.653571,8.917771,12.479370,0.965782,0.855184,1.208720,4.152304,0.604640,1.702622,0.979218,3.680722,0.071788,0.000000,1.002014,1.633520,0.000000,0.000000,0.950256,1.096193,0.000000,0.000000,0.082326,0.618289,0.000000,0.231118,0.000000,0.565933,0.000000,0.000000,788.000000,,1
14.287779,44.612473,0.310595,0.684075,9.528540,23.884235,0.999681,0.994630,1.593420,3.994112,0.732028,1.216386,1.797649,2.781239,0.027728,0.000000,1.154965,1.649456,0.000000,0.000000,0.979026,1.378111,0.000000,0.000000,0.202330,0.601420,0.000000,0.085072,0.254705,0.444238,0.000000,0.000000,872.000000,,1
9.521513,13.099242,0.186860,0.627558,4.046835,20.041229,0.596075,0.407458,1.548223,1.686132,1.148590,0.886467,1.232278,1.259807,0.081095,0.000000,0.978706,1.117246,0.000000,0.000000,0.607116,1.301924,0.000000,0.000000,0.189833,0.226891,0.060165,0.000000,0.090709,0.100304,0.000000,0.000000,990.000000,,1
10.975027,3.720749,0.151225,0.284043,6.182629,17.728178,0.828572,0.515103,0.436945,2.093071,0.609471,1.025154,0.573397,2.505880,0.001681,0.000000,1.040406,0.570630,0.000000,0.000000,0.791173,1.248664,0.000000,0.000000,0.000000,0.320784,0.000000,0.010789,0.000000,0.398960,0.000000,0.000000,1034.000000,,1
