FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
23.205391,70.404274,0.192969,0.640794,14.219224,15.657267,0.615360,1.177956,1.258789,4.859696,1.353896,0.937913,1.468567,2.767244,0.017569,0.000000,1.365589,1.847599,0.000000,0.000000,1.152876,1.194716,0.000000,0.071129,0.099953,0.686609,0.131585,0.000000,0.166894,0.442047,0.000000,0.000000,34.000000,,1
14.142922,42.095074,0.169412,0.644926,3.303009,13.803061,0.310156,0.356711,1.283824,2.152064,0.588848,1.086143,1.597852,2.618595,0.065863,9998.000000,1.150539,1.624231,0.000000,0.000000,0.518910,1.139975,0.000000,0.000000,0.108505,0.332855,0.000000,0.035887,0.203537,0.418068,0.000000,3.999913,90.000000,,1
27.012142,4.921244,0.144697,0.381885,7.414746,9.653831,0.416582,0.805754,1.362381,3.576931,1.082969,1.447446,1.073267,0.601705,0.002633,0.000000,1.431559,0.692075,0.000000,0.000000,0.870096,0.984700,0.000000,0.000000,0.134299,0.553510,0.034616,0.160602,0.030708,0.000000,0.000000,0.000000,184.000000,,1
12.228027,22.713884,0.185962,0.825438,8.192890,17.586197,0.689046,0.742788,2.037193,2.401809,0.607494,0.793236,1.112735,3.234833,0.024691,0.000000,1.087356,1.356291,0.000000,0.000000,0.913437,1.245172,0.000000,0.000000,0.309032,0.380538,0.000000,0.000000,0.046392,0.509852,0.000000,0.000000,284.000000,,1
6.070632,28.761759,0.252061,0.617995,6.112416,11.086804,0.484199,0.461879,1.952846,0.746721,0.642950,0.837356,0.510072,2.363020,0.074219,0.000000,0.783234,1.458815,0.000000,0.000000,0.786213,1.044806,0.000000,0.000000,0.290668,0.000000,0.000000,0.000000,0.000000,0.373467,0.000000,0.000000,347.000000,,1
33.680946,67.169800,0.241640,0.810964,11.709690,29.137514,0.740453,0.963047,1.583359,2.863070,0.957318,1.380388,1.226129,3.317044,0.078701,0.000000,1.527384,1.827174,0.000000,0.000000,1.068545,1.464453,0.000000,0.000000,0.199579,0.456832,0.000000,0.140001,0.088536,0.520751,0.000000,0.000000,408.000000,,1
1.125811,0.000000,0.076521,0.000000,4.796451,0.000000,0.000000,0.560460,0.000000,0.425785,0.571859,0.210876,0.110719,0.000000,0.075525,0.000000,0.051466,0.000000,0.000000,0.000000,0.680920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,534.000000,,0
28.857164,3.277216,0.151125,0.338125,11.001240,18.114635,0.555070,1.024456,1.126829,4.077240,0.910164,1.149308,0.999222,1.885549,0.019043,0.000000,1.460254,0.515505,0.000000,0.000000,1.041442,1.258030,0.000000,0.010493,0.051858,0.610366,0.000000,0.060437,0.000000,0.275438,0.000000,0.000000,660.000000,,0
8.203531,2.049351,0.057775,0.673055,7.757642,0.000000,0.186081,0.585055,1.150327,2.043841,0.358767,0.756144,0.902557,1.081512,0.043915,0.000000,0.914001,0.311616,0.000000,0.000000,0.889730,0.000000,0.000000,0.000000,0.060821,0.310447,0.000000,0.000000,0.000000,0.034031,0.000000,0.000000,717.000000,,0
10.341281,6.252841,0.171867,0.313629,3.516620,2.597393,0.173225,0.193129,1.039049,3.137311,0.640554,1.075383,1.464495,2.181490,0.037710,9998.000000,1.014574,0.796077,0.000000,0.000000,0.546125,0.414538,0.000000,0.000000,0.016636,0.496558,0.000000,0.031563,0.165688,0.338753,0.000000,3.999913,743.000000,,1
