FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
5.681561,18.356853,0.179314,0.329900,97.464554,74.773369,48.663761,8.389752,1.713562,0.353756,0.538181,1.473079,1.002236,2.935238,0.087830,0.000000,0.754468,1.263798,0.000000,0.000000,1.988847,1.873747,1.687206,0.923749,0.233900,0.000000,0.000000,0.168226,0.000970,0.467643,0.000000,0.000000,14.000000,,1
11.873852,36.497021,0.372901,1.397437,164.334335,109.578186,76.411507,14.753811,2.136352,1.976383,0.949851,1.522749,1.434130,2.968538,0.035427,0.000000,1.074592,1.562257,0.000000,0.145332,2.215728,2.039724,1.883159,1.168904,0.329673,0.295871,0.000000,0.182628,0.156589,0.472543,0.000000,0.000000,52.000000,,1
16.536747,0.000000,0.113354,0.449322,144.914597,112.901497,67.340172,11.490629,1.553174,3.296621,0.815975,2.222835,0.971392,1.624124,0.013465,0.000000,1.218450,0.000000,0.000000,0.000000,2.161112,2.052700,1.828274,1.060344,0.191220,0.518069,0.000000,0.346907,0.000000,0.210619,0.000000,0.000000,109.000000,,0
18.980021,68.209190,0.270707,2.180053,242.947083,174.338211,109.568123,23.190798,2.029227,3.833164,0.671418,0.817073,1.426784,3.479827,0.066690,0.000000,1.278297,1.833843,0.000000,0.338467,2.385512,2.241393,2.039684,1.365316,0.307331,0.583557,0.000000,0.000000,0.154358,0.541558,0.000000,0.000000,181.000000,,1
13.041766,55.486942,0.304965,1.604241,245.311935,211.430115,114.379929,21.968422,1.839153,2.134116,1.110619,1.068356,0.620591,2.191092,0.053561,0.000000,1.115336,1.744191,0.000000,0.205269,2.389719,2.325167,2.058350,1.341799,0.264618,0.329218,0.045565,0.028716,0.000000,0.340661,0.000000,0.000000,293.000000,,1
11.254519,42.341885,0.343774,1.562596,163.637848,110.475876,71.958885,13.367054,2.592782,2.001737,0.654888,1.222895,0.861392,2.813699,0.065437,0.000000,1.051327,1.626770,0.000000,0.193847,2.213884,2.043267,1.857084,1.126036,0.413766,0.301407,0.000000,0.087389,0.000000,0.449278,0.000000,0.000000,364.000000,,1
13.739516,2.644747,0.042283,0.895191,171.296585,149.528961,81.811836,16.480988,1.316504,1.012138,0.615959,0.927213,0.807550,1.274680,0.098158,9998.000000,1.137971,0.422384,0.000000,0.000000,2.233749,2.174725,1.912816,1.216983,0.119422,0.005240,0.000000,0.000000,0.000000,0.105401,0.000000,3.999913,485.000000,,1
18.502949,0.018127,0.303048,1.633088,131.815994,89.383179,60.801552,12.034180,0.575293,3.112316,0.744166,0.763011,1.079036,1.950051,0.020152,0.000000,1.267241,0.000000,0.000000,0.213010,2.119968,1.951256,1.783915,1.080416,0.000000,0.493084,0.000000,0.000000,0.033036,0.290046,0.000000,0.000000,518.000000,,0
8.093192,33.709137,0.149528,0.858518,94.346146,79.823135,47.498482,9.573578,1.234713,2.514823,0.643589,0.339342,1.398854,2.371684,0.134745,0.000000,0.908120,1.527748,0.000000,0.000000,1.974724,1.902129,1.676680,0.981074,0.091566,0.400508,0.000000,0.000000,0.145773,0.375057,0.000000,0.000000,590.000000,,1
5.964825,34.045383,0.329740,1.863209,112.151466,83.037445,53.225182,9.697911,1.350802,1.913218,0.650137,0.865325,1.213053,1.502146,0.024744,0.000000,0.775598,1.532058,0.000000,0.270262,2.049805,1.919274,1.726117,0.986678,0.130592,0.281765,0.000000,0.000000,0.083880,0.176712,0.000000,0.000000,677.000000,,1
